@    title "Electric Field"
@    xaxis  label "Time (ps)"
@    yaxis  label "MV/cm"
#time             Magnitude      Efield_X       Efield_Y       Efield_Z
@type xy
1                 35.314373     -31.714676      -8.466108     -13.023412
2                 31.661226     -28.880756      -8.606122      -9.709264
3                 31.445343     -28.771107      -0.754389     -12.667436
4                 37.070908     -32.219337      -6.419307     -17.174368
5                 31.770967     -29.094082      -3.976479     -12.129153
6                 36.617661     -33.552868      -2.867575     -14.381769
7                 39.490494     -38.133305      -3.563357      -9.625629
8                 34.101383     -32.633205      -0.411709      -9.889826
9                 38.258114     -32.002045      -5.810903     -20.144125
10                34.531189     -31.986012      -9.434058      -8.960846
11                35.558716     -33.912685      -7.539932      -7.582971
12                36.063492     -33.203537      -7.545269     -11.881475
13                37.640015     -33.709522      -9.317589     -13.914792
14                34.366302     -31.538748     -13.436397      -2.411088
15                31.097828     -30.027117      -4.022367      -7.019102
16                40.149090     -37.729000      -6.034340     -12.331208
17                33.042805     -30.688265      -1.866748     -12.106716
18                32.256489     -27.179792      -8.408178     -15.200079
19                29.498877     -27.315130      -7.088916      -8.591546
20                32.149467     -28.993189      -7.289345     -11.825767
21                34.930302     -30.681843      -2.426140     -16.518610
22                30.902744     -29.344854      -6.077222      -7.544968
23                30.889652     -29.731602       0.364944      -8.370744
24                37.041935     -35.630871       1.777682      -9.969248
25                35.226807     -29.371433      -6.534588     -18.317917
26                28.402050     -19.235985     -13.200294     -16.198936
27                24.555151     -21.602585      -6.307062      -9.823684
28                34.563705     -26.870306      -2.663467     -21.576429
29                21.870108     -20.872721      -1.630581      -6.322368
30                20.990305     -16.118370       2.128290     -13.276348
31                32.756863     -19.405258      -5.965490     -25.707216
32                27.949291     -17.350414      -7.190721     -20.698299
33                33.837444     -26.385925      -5.140121     -20.550785
34                28.859112     -23.940912       1.189108     -16.070688
35                35.142403     -26.590342      -3.881679     -22.646740
36                36.488808     -29.744457      -6.507508     -20.108522
37                29.921734     -27.320896     -10.517734      -6.185143
38                28.475080     -22.003098       3.810841     -17.668373
39                26.488419     -13.264507      -3.586484     -22.645670
40                25.358500     -24.134979      -4.996612      -5.965743
41                31.569885     -26.351288       3.068497     -17.112909
42                18.745605     -15.342718      -5.633123      -9.179688
43                28.375326     -24.422119      -5.448515     -13.380319
44                33.981228     -20.921616      -7.866203     -25.595560
45                33.728493     -27.746082      -9.786842     -16.491936
46                23.010788     -18.332731      -2.973595     -13.585472
47                24.671528     -15.877424       0.179101     -18.882788
48                22.084551     -16.390945     -10.236715     -10.689898
49                30.171625     -24.566355      -8.644821     -15.234442
50                32.448120     -27.921955      -4.236685     -15.977971
51                34.921959     -21.913811     -13.765930     -23.448399
52                27.753462     -23.559322      -8.682813     -11.824622
53                24.694950     -21.245083      -2.676673     -12.301318
54                38.706814     -29.898373     -13.596105     -20.480495
55                20.601181      -1.553720      -6.823849     -19.376009
56                35.389732     -23.624086     -16.922297     -20.198307
57                34.558517     -27.150251      -9.890221     -18.956223
58                33.542000     -24.584461     -15.776840     -16.485184
59                31.004555     -21.211508      -4.592064     -22.141981
60                35.497311     -24.138542      -5.768687     -25.379364
61                27.412031     -22.683643       2.369707     -15.207113
62                30.847029     -26.510185     -12.780881      -9.241121
63                35.596020     -18.207935     -14.189797     -27.096077
64                42.884190     -40.218189     -12.494774      -8.088984
65                28.292908     -21.879230      -7.596339     -16.250648
66                20.210890     -15.966024      -4.035019     -11.716858
67                34.701263     -27.940639     -12.728514     -16.170448
68                32.948471     -23.780443       5.768507     -22.063921
69                27.074547     -16.171480      -4.379530     -21.268147
70                36.364277     -21.940939      15.332994     -24.614124
71                39.990692     -16.476414       5.905422     -35.957047
72                29.545149     -23.617786      -1.096755     -17.717594
73                32.058529     -27.021452      -6.612828     -15.933018
74                27.403217     -18.783165      -0.738526     -19.939499
75                39.420940     -31.270214      -0.580164     -23.996826
76                33.919525     -29.366352       0.300068     -16.972378
77                37.731022     -28.760063       6.627316     -23.506750
78                34.632523     -23.116983       2.599771     -25.656536
79                37.018963     -25.879456      10.934137     -24.106056
80                31.983831     -29.317326      -7.636785     -10.253750
81                26.706924     -24.671740      -4.313220      -9.271524
82                29.544033     -15.040645      -4.155380     -25.087082
83                31.615648     -24.912489      -6.538199     -18.334915
84                32.891296     -26.418390       2.804530     -19.391768
85                24.595007     -15.928273      -5.744095     -17.838438
86                37.154556     -29.406454      -1.147304     -22.680502
87                29.640743     -23.397306      -4.492835     -17.633892
88                33.304150     -25.504381      -8.913255     -19.474262
89                28.724445     -25.884464      -7.865164      -9.655439
90                42.650394     -35.483307       4.844295     -23.162983
91                26.901268     -21.073610      -6.333361     -15.474810
92                22.879351     -19.557377      -9.129762      -7.590862
93                40.043484     -36.896053       3.823876     -15.084423
94                31.390575     -16.340517      -1.455803     -26.762592
95                28.808895     -23.779182      -4.561366     -15.610792
96                26.181551     -17.913467     -10.918666     -15.664099
97                32.566021     -30.866726      -9.295318      -4.624719
98                25.632769     -22.204021     -11.024155      -6.518305
99                34.905056     -29.516155       1.265471     -18.589191
100               33.803303     -27.728563      -6.811228     -18.094122
101               27.160839     -16.741243      -7.159933     -20.153841
102               28.664133     -25.642824      -5.821531     -11.409992
103               30.434198     -23.294758     -17.492498      -8.809498
104               24.421837     -20.225283      -4.893873     -12.783349
105               33.211990     -31.991219       3.210948      -8.323947
106               31.149609     -30.368528      -6.612821      -2.078762
107               34.831093     -23.857780      -4.839127     -24.911728
108               31.285030     -26.409225      -1.276303     -16.723545
109               32.910065     -22.073635      -5.667743     -23.742445
110               29.306679     -23.404099       6.081951     -16.557159
111               36.022823     -31.063684      -1.746916     -18.155977
112               25.011059     -21.432627      -2.380136     -12.670066
113               33.795982     -29.929487      -4.645751     -14.993701
114               31.850197     -28.502993      -7.391286     -12.140156
115               33.001774     -28.860567      -8.446638     -13.595552
116               30.715597     -30.353716      -1.634801      -4.407641
117               37.366901     -33.172100     -11.151303     -13.097541
118               30.194752     -24.054638      -7.534998     -16.622913
119               28.340792     -24.096561      -8.891296     -11.979191
120               33.178699     -26.292589      -0.712770     -20.224192
121               43.806992     -40.634914     -14.545057      -7.503159
122               35.548023     -26.897184      -8.246540     -21.730114
123               34.762100     -32.350063      -4.765638     -11.796846
124               30.782959     -24.697021       0.345721     -18.371939
125               34.714695     -32.705185      -1.738431     -11.509068
126               34.390362     -23.734123      -4.251925     -24.521610
127               30.381124     -26.748722      -3.491084     -13.976083
128               32.021893     -29.870687       5.800729      -9.974723
129               35.157951     -27.363585     -13.181168     -17.707981
130               36.231949     -31.546497      -2.470028     -17.648560
131               36.857677     -25.638796     -16.241396     -20.913101
132               40.434441     -23.605309     -11.104628     -30.893700
133               36.600323     -33.146164       4.468469     -14.864330
134               34.600838     -32.006283      -7.820361     -10.566824
135               31.194155     -27.387510       0.817368     -14.910785
136               35.340172     -31.607836       0.698815     -15.791897
137               23.793169     -20.540747      -5.940054     -10.435919
138               34.851219     -33.827549      -0.688433      -8.356460
139               28.143772     -25.101789      -0.246123     -12.724443
140               22.269691     -16.427063       1.633354     -14.947338
141               34.824604     -31.582363       6.686323     -13.061417
142               26.825827     -22.872393      -3.645603     -13.534701
143               34.111172     -31.980286      -9.084021      -7.636367
144               38.612141     -37.390236      -7.452131      -6.110111
145               37.450649     -29.084152      -9.642350     -21.533422
146               29.708801     -27.041008       0.552457     -12.291928
147               36.800171     -33.985146      -9.499473     -10.441386
148               28.902836     -26.235853      -8.184488      -8.948079
149               25.037106     -15.385008      -8.519935     -17.820463
150               31.157108     -28.973097     -10.626633      -4.289492
151               40.764679     -34.456055      -1.225263     -21.749437
152               30.300297     -25.350851     -11.549124     -11.918897
153               32.568829     -28.460421      -2.749479     -15.594020
154               25.191851     -15.036162     -13.819367     -14.750195
155               31.632832     -27.681255      -2.113428     -15.163031
156               28.223358     -26.988144      -2.540300      -7.857792
157               39.654541     -35.291447     -10.685430     -14.588280
158               30.053556     -26.280436     -10.097775     -10.516171
159               28.704891     -27.313934      -0.929312      -8.778163
160               32.676815     -29.912079      -3.739130     -12.611924
161               30.854630     -26.747480      -2.908122     -15.103747
162               27.912733     -23.988489      -3.135089     -13.922796
163               27.204037     -23.886585      -4.159747     -12.336415
164               40.646767     -29.665607     -11.267539     -25.399881
165               26.730764     -14.984652      -4.518495     -21.669731
166               36.560940     -31.604033      -8.166862     -16.467844
167               37.262215     -34.505997       1.385476     -13.996046
168               23.177046     -17.515371     -10.029575     -11.392756
169               32.017841     -30.223938      -1.907763     -10.393077
170               23.123306     -15.760618     -12.090923     -11.836376
171               36.430214     -36.330189       0.033953      -2.697547
172               29.818653     -29.600956      -1.402077       3.312043
173               30.206671     -30.053194      -0.007827      -3.041135
174               28.376114     -26.908243      -5.985603      -6.732224
175               31.893034     -31.856825       1.494002      -0.276093
176               35.229786     -26.930943       2.037270     -22.621048
177               34.041363     -31.022022       0.479666     -14.007799
178               25.973665     -20.459545      -4.592952     -15.327854
179               39.203613     -37.759914      -0.094639     -10.540545
180               37.991173     -34.560741      -6.431502     -14.405563
181               35.561157     -25.809227      -7.867128     -23.164368
182               25.501783     -25.127285      -2.611414      -3.484401
183               29.957104     -23.915716     -12.230734     -13.261817
184               33.292671     -26.441221      -2.664419     -20.054041
185               30.007927     -23.593216      -2.631503     -18.355135
186               31.213587     -29.923813      -0.082921      -8.879558
187               32.651558     -30.161484       3.842540     -11.901432
188               33.843510     -30.171278     -11.277358     -10.387413
189               32.568363     -28.293407      -7.502157     -14.279323
190               38.235771     -33.851990       5.710484     -16.834709
191               23.638521     -21.402443      -9.139167      -4.146168
192               31.251442     -21.334143     -10.539269     -20.259090
193               29.467604     -28.726309      -6.559729      -0.329871
194               28.410629     -22.834312     -13.151256     -10.620852
195               21.049006     -19.095095      -6.152237      -6.370871
196               24.968357     -14.786040       4.380981     -19.636671
197               28.233471     -18.964848     -15.672098     -13.850948
198               34.148811     -26.627708       4.861925     -20.819895
199               25.006701     -17.640402      -9.881744     -14.714022
200               32.754093     -26.367311     -16.753881      -9.843932
201               39.909336     -33.309536       1.529099     -21.929243
202               27.872559     -25.942377      -3.334129      -9.631000
203               28.389462     -25.488897     -10.422428      -6.902943
204               19.426291     -15.847091      -9.716814      -5.642164
205               29.528290     -24.008835     -12.800968     -11.473054
206               26.449827     -19.348112     -11.257037     -14.089818
207               21.376364     -15.222691     -10.557428     -10.665800
208               30.366192     -28.724979      -0.869044      -9.809480
209               18.094591     -16.988766      -2.152974      -5.844724
210               26.983761     -23.980032      -5.454258     -11.105515
211               21.151777     -17.502838      -0.228658     -11.874176
212               24.934166     -21.046843      -4.756054     -12.494920
213               29.256691     -28.832218      -1.077647      -4.847243
214               28.354618     -24.428894     -14.018431      -3.270641
215               31.725861     -26.785997     -12.603321     -11.410383
216               29.497606     -23.007826      -1.576589     -18.391930
217               31.993803     -26.350048      -0.624582     -18.135277
218               24.243053     -20.989681      -3.977607     -11.460261
219               19.870186     -15.381080      -1.518810     -12.487588
220               27.287403     -25.087753       1.139067     -10.672841
221               27.250935     -25.520315       0.846828      -9.518922
222               23.291470     -22.296043       4.457637      -5.050592
223               31.566759     -27.967033       8.501697     -11.917487
224               39.226788     -35.555248      -1.843796     -16.467102
225               30.995188     -19.014002      -8.622637     -22.908941
226               32.096710     -30.731018      -6.688633      -6.408239
227               34.723026     -30.974524      -5.933415     -14.527971
