@    title "Efield_Projection"
@    xaxis  label "Time (ps)"
@    yaxis  label "Alignment_percentage"
#time             Angle           Alignment%
@type xy
1                 49.390759      65.089672
2                 48.836897      65.820474
3                 37.873174      78.937163
4                 41.679754      74.687315
5                 51.901255      61.701858
6                 38.460408      78.303805
7                 36.697584      80.180089
8                 27.847698      88.419245
9                 54.418011      58.186733
10                47.199514      67.944749
11                48.971962      65.642824
12                45.081362      70.610191
13                51.038349      62.880010
14                52.632968      60.691859
15                33.009199      83.858318
16                42.150374      74.138602
17                39.961812      76.647272
18                52.160884      61.344632
19                53.931527      58.875170
20                51.643235      62.055622
21                44.435515      71.403871
22                44.022793      71.906336
23                26.923185      89.161439
24                32.182009      84.636043
25                48.516193      66.240838
26                65.048623      42.184901
27                50.482089      63.631944
28                43.301249      72.775788
29                34.728126      82.186454
30                31.770632      85.016263
31                60.580482      49.120049
32                57.719249      53.406836
33                48.122983      66.753400
34                30.543605      86.124266
35                47.523225      67.529127
36                43.522720      72.510131
37                58.005219      52.984200
38                29.489398      87.044668
39                63.426969      44.733819
40                38.317804      78.458374
41                34.732862      82.181734
42                53.405596      59.614645
43                43.683003      72.317205
44                50.257543      63.933778
45                53.430067      59.580345
46                44.374796      71.478041
47                40.671557      75.845795
48                67.100134      38.912180
49                55.823835      56.173917
50                46.314672      69.069736
51                62.758370      45.774400
52                54.092878      58.647311
53                39.163984      77.534153
54                55.173166      57.109807
55                84.401856       9.755067
56                65.273884      41.828119
57                53.876236      58.953134
58                60.427937      49.351779
59                50.252471      63.940578
60                50.740024      63.284019
61                31.657156      85.120374
62                59.903998      50.145025
63                60.259629      49.607058
64                50.334407      63.830569
65                55.351096      56.854613
66                46.719089      68.557591
67                56.638012      54.992674
68                32.861538      83.998437
69                53.013476      60.162714
70                30.169544      86.454209
71                47.774540      67.204974
72                38.539756      78.217601
73                46.560301      68.759081
74                47.232031      67.903091
75                33.994512      82.909112
76                39.675708      76.967031
77                32.450850      84.385218
78                44.267667      71.608675
79                32.461185      84.375533
80                53.545272      59.418743
81                43.552195      72.474697
82                66.059763      40.578358
83                44.572493      71.236306
84                34.395468      82.515811
85                62.013853      46.925804
86                40.115387      76.474844
87                43.794218      72.183002
88                49.368713      65.118883
89                47.290335      67.828360
90                31.579658      85.191303
91                48.978068      65.634785
92                56.665673      54.952345
93                28.255665      88.084395
94                54.947356      57.432885
95                51.436460      62.338218
96                61.435541      47.814729
97                52.479546      60.904456
98                54.592384      57.938944
99                35.561022      81.349652
100               44.068054      71.851425
101               58.571525      52.143384
102               37.735381      79.084573
103               62.065885      46.845597
104               52.102227      61.425455
105               29.171856      87.316162
106               49.921098      64.384192
107               45.279096      70.365392
108               41.118765      75.334815
109               54.007708      58.767655
110               21.795009      92.851826
111               38.627831      78.121747
112               45.705211      69.835014
113               44.073126      71.845254
114               44.681957      71.102098
115               48.606624      66.122512
116               45.713885      69.824183
117               50.581462      63.498043
118               51.966000      61.612896
119               51.060582      62.849844
120               43.470823      72.572488
