@    title "Efield_Projection"
@    xaxis  label "Time (ps)"
@    yaxis  label "MV/cm"
#time             Magnitude       Efield_X       Efield_Y      Efield_Z        Direction
@type xy
1                 22.986010     -17.010004      13.338015      -7.817527       1.000000
2                 20.839569     -17.613914      10.948724      -2.040379       1.000000
3                 24.822062     -20.209187      13.963369      -3.570405       1.000000
4                 27.687265     -20.813215      14.552065     -11.028699       1.000000
5                 19.603277     -11.128689      13.181749      -9.310331       1.000000
6                 28.673021     -23.057434      15.750578      -6.512770       1.000000
7                 31.663513     -26.421709      16.525587      -5.601460       1.000000
8                 30.152185     -26.525879      13.450517      -4.961409       1.000000
9                 22.261147     -19.144470      11.052476       2.625015       1.000000
10                23.462130     -19.307152      12.204537      -5.362343       1.000000
11                23.341745     -18.175755      13.955643      -4.440612       1.000000
12                25.464500     -20.059246      13.870146      -7.327108       1.000000
13                23.668045     -18.211494      14.059686      -5.553654       1.000000
14                20.857548     -17.974709      10.270242      -2.543485       1.000000
15                26.078115     -23.050957      11.243996      -4.721659       1.000000
16                29.765974     -21.859161      15.736486     -12.670962       1.000000
17                25.326408     -18.547455      15.118345      -8.297863       1.000000
18                19.787624     -13.742403      11.922411      -7.781554       1.000000
19                17.367514     -12.343362      11.127167      -5.045601       1.000000
20                19.950552     -13.743800      12.327671      -7.560491       1.000000
21                24.941587     -21.750193      12.169859       0.952097       1.000000
22                22.221031     -18.515909      11.908243      -3.021430       1.000000
23                27.541658     -24.293360      12.409828      -3.791005       1.000000
24                31.350828     -25.354538      17.804893      -4.796623       1.000000
25                23.334532     -18.562080      13.330251      -4.717410       1.000000
26                11.981377     -10.216601       6.037597      -1.649802       1.000000
27                15.624920     -11.947202       9.059571      -4.396209       1.000000
28                25.154009     -21.720329      12.113384      -3.770588       1.000000
29                17.974266     -14.558714       9.068137      -5.374658       1.000000
30                17.845173     -12.565967      10.533795      -7.041720       1.000000
31                16.090187     -12.991190       9.185972      -2.396041       1.000000
32                14.926832     -11.081011       8.897420      -4.566997       1.000000
33                22.587645     -18.809772      11.956272      -3.666287       1.000000
34                24.854698     -19.574669      12.854342      -8.327915       1.000000
35                23.731358     -19.696056      12.647360      -3.909853       1.000000
36                26.458082     -18.359890      14.506517     -12.349311       1.000000
37                15.853791     -12.004444       9.587366      -3.913877       1.000000
38                24.786039     -17.306824      14.610999     -10.066794       1.000000
39                11.849281     -10.374662       5.633881      -1.015492       1.000000
40                19.895866     -17.647593       8.871496      -2.388413       1.000000
41                25.944679     -20.614716      14.969432      -4.906727       1.000000
42                11.175126      -8.661392       6.373916      -3.039232       1.000000
43                20.520243     -18.200176       9.260017      -2.021389       1.000000
44                21.725483     -15.937460      11.697911      -9.008490       1.000000
45                20.095552     -16.652370      10.863630      -2.917415       1.000000
46                16.447660     -14.578064       7.386186      -1.857374       1.000000
47                18.712317     -14.652452       9.893929      -6.129157       1.000000
48                 8.593580      -7.295812       4.540474      -0.069589       1.000000
49                16.948584     -12.586087      10.430157      -4.478477       1.000000
50                22.411831     -17.673828      13.174597      -4.044249       1.000000
51                15.985317     -13.039274       8.479106      -3.689505       1.000000
52                16.276659     -11.844285       9.534781      -5.807796       1.000000
53                19.147020     -14.430705      10.365876      -7.135246       1.000000
54                22.105387     -16.514374      12.355914      -7.953300       1.000000
55                 2.009659      -1.627014       1.086061      -0.460462       1.000000
56                14.802859     -12.956625       6.989126      -1.550044       1.000000
57                20.373329     -16.745598      11.012560      -3.658009       1.000000
58                16.553574     -13.246905       8.547707      -5.047478       1.000000
59                19.824492     -17.200958       9.320369      -3.204409       1.000000
60                22.464125     -15.101933      14.150642      -8.736581       1.000000
61                23.333223     -16.959738      13.662807      -8.374626       1.000000
62                15.468250     -11.844586       8.965345      -4.312206       1.000000
63                17.658138     -13.986984       8.537258      -6.579467       1.000000
64                27.373222     -22.359446      15.065224      -4.731543       1.000000
65                16.085823     -13.230612       8.866939      -2.254334       1.000000
66                13.856099     -11.727111       6.843534      -2.762680       1.000000
67                19.083153     -14.846325      10.742836      -5.323988       1.000000
68                27.676201     -19.509844      17.368402      -9.147492       1.000000
69                16.288782     -13.768693       7.908114      -3.634454       1.000000
70                31.438448     -26.034937      16.246630      -6.826797       1.000000
71                26.875734     -20.964605      14.760426      -8.057307       1.000000
72                23.109507     -16.483864      13.464222      -9.002569       1.000000
73                22.043150     -16.637547      12.405730      -7.429024       1.000000
74                18.607632     -14.666103      10.750260      -3.947317       1.000000
75                32.683552     -28.221834      14.365030      -8.086310       1.000000
76                26.106852     -21.785799      14.214651      -2.211410       1.000000
