#time   Angle(Efield(t), avg_field)   Projection(Efield(t), avg_field)   Alignment(Efield(t), avg_field)
1                  5.474573                     35.003067                        94.943911
2                  5.067785                     31.424387                        85.236937
3                  7.651066                     30.888739                        83.784020
4                  8.268046                     36.301594                        98.466098
5                  4.809864                     31.558508                        85.600734
6                  5.968049                     36.230518                        98.273307
7                  3.378176                     39.370586                       106.790566
8                  6.062395                     33.728802                        91.487539
9                 11.080133                     36.818432                        99.867994
10                 4.879256                     34.293041                        93.018007
11                 3.543150                     35.438103                        96.123922
12                 3.392345                     35.952919                        97.520334
13                 5.724814                     37.275375                       101.107430
14                12.571826                     32.697792                        88.690978
15                 2.761091                     31.040115                        84.194624
16                 1.859201                     40.126717                       108.841538
17                 5.678201                     32.728161                        88.773352
18                 9.872052                     31.295738                        84.887987
19                 3.666128                     29.390675                        79.720604
20                 5.099696                     31.905725                        86.542541
21                 9.201844                     34.028473                        92.300379
22                 2.361486                     30.865107                        83.719921
23                 6.991593                     30.435616                        82.554948
24                 8.418626                     36.244312                        98.310721
25                10.935871                     33.935856                        92.049158
26                20.309903                     24.802858                        67.276400
27                 7.019062                     24.191284                        65.617543
28                15.977933                     31.848831                        86.388218
29                 3.666128                     21.789885                        59.103876
30                19.228561                     18.604580                        50.463909
31                25.111698                     26.437208                        71.709490
32                23.292084                     23.301861                        63.205028
33                14.983936                     31.500303                        85.442859
34                14.702086                     26.940248                        73.073959
35                16.850803                     32.072437                        86.994737
36                12.351284                     34.779278                        94.336897
37                 8.420795                     29.277088                        79.412508
38                19.557670                     25.127491                        68.156952
39                29.672593                     19.393175                        52.602929
40                 2.584068                     25.318918                        68.676186
41                15.574002                     29.214012                        79.241419
42                11.594454                     17.972488                        48.749396
43                 8.783354                     27.709030                        75.159234
44                23.674303                     28.145926                        76.344287
45                11.298622                     32.408176                        87.905413
46                14.119798                     21.599901                        58.588558
47                24.238171                     20.233128                        54.881257
48                17.027713                     20.114632                        54.559845
49                11.876403                     28.865461                        78.295994
50                 9.517522                     31.550865                        85.580003
51                22.641653                     29.431702                        79.831886
52                 9.578833                     26.975939                        73.170763
53                 9.874442                     23.959061                        64.987648
54                14.641019                     36.154556                        98.067266
55                45.684018                      7.904390                        21.440227
56                20.866164                     30.657759                        83.157498
57                13.783004                     32.539829                        88.262516
58                17.557503                     30.361406                        82.353663
59                20.641058                     26.947268                        73.092997
60                20.752163                     30.802307                        83.549583
61                15.740340                     25.322475                        68.685836
62                10.959536                     29.711628                        80.591172
63                28.157349                     26.992737                        73.216331
64                 6.498722                     42.342525                       114.851797
65                14.622673                     26.432011                        71.695387
66                13.903583                     19.009470                        51.562154
67                12.737627                     32.971466                        89.433306
68                22.761353                     27.714106                        75.173002
69                25.005361                     21.894722                        59.388238
70                31.883972                     25.153845                        68.228436
71                35.734209                     24.602468                        66.732854
72                15.175926                     27.451756                        74.461395
73                10.079483                     31.062529                        84.255415
74                21.749157                     23.425049                        63.539171
75                15.895421                     36.356449                        98.614889
76                11.786843                     32.473362                        88.082224
77                20.845070                     32.696117                        88.686436
78                23.885034                     28.580259                        77.522397
79                25.868600                     29.446302                        79.871494
80                 4.082071                     31.834406                        86.349094
81                 3.278531                     26.631353                        72.236097
82                29.266805                     21.840988                        59.242493
83                13.984294                     29.714319                        80.598474
84                17.053817                     29.948442                        81.233519
85                22.023616                     20.934628                        56.784040
86                15.756244                     34.316616                        93.081951
87                14.365050                     27.759464                        75.296032
88                15.102214                     30.967321                        83.997172
89                 5.672917                     28.451464                        77.173048
90                16.078871                     39.257870                       106.484830
91                14.112783                     25.253489                        68.498713
92                10.647231                     22.085062                        59.904528
93                11.104363                     38.529942                       104.510367
94                29.448030                     23.106453                        62.674993
95                11.818016                     27.574066                        74.793154
96                19.763147                     23.038939                        62.491864
97                 7.495697                     32.013397                        86.834598
98                11.466385                     24.599049                        66.723579
99                13.641050                     32.908081                        89.261377
100               11.792393                     32.360733                        87.776726
101               23.487449                     22.569265                        61.217904
102                5.770679                     28.381746                        76.983941
103               18.318788                     27.293402                        74.031866
104               11.228422                     23.477798                        63.682252
105               10.401192                     32.112305                        87.102878
106                8.818487                     30.412191                        82.491410
107               20.672269                     30.259361                        82.076871
108               12.213367                     29.852087                        80.972159
109               21.180346                     28.377146                        76.971459
110               19.766086                     25.787914                        69.948316
111               10.805601                     34.734314                        94.214934
112               10.348036                     24.191463                        65.618026
113                7.336551                     33.247288                        90.181458
114                5.703926                     31.544010                        85.561407
115                7.426556                     32.452339                        88.025200
116                7.099786                     30.249556                        82.050270
117                6.903506                     36.831875                        99.904454
118               13.161533                     28.587133                        77.541041
119                9.494279                     27.560999                        74.757707
120               15.838286                     30.617975                        83.049589
121                8.250692                     42.901791                       116.368771
122               15.839112                     32.804150                        88.979471
123                3.060558                     34.678703                        94.064093
124               15.775023                     28.426092                        77.104229
125                5.070182                     34.454750                        93.456632
126               20.522618                     29.941153                        81.213748
127                8.157525                     29.767773                        80.743462
128               13.802471                     30.146070                        81.769574
129               14.383662                     32.920696                        89.295596
130                9.808266                     35.166904                        95.388311
131               19.255980                     32.656597                        88.579243
132               25.057631                     32.666691                        88.606620
133               12.611319                     34.812088                        94.425893
134                3.334543                     34.498936                        93.576485
135               11.419977                     29.946411                        81.228012
136               10.228701                     34.209003                        92.790061
137                8.301180                     23.295341                        63.187343
138                5.975337                     34.481804                        93.530017
139                9.637923                     27.345404                        74.172920
140               20.348319                     19.436991                        52.721781
141               14.795064                     32.479656                        88.099301
142               10.057859                     25.996017                        70.512784
143                4.969525                     33.866478                        91.860980
144                5.141976                     38.314201                       103.925180
145               14.451679                     35.044842                        95.057225
146                9.227755                     28.937370                        78.491038
147                4.302522                     36.607056                        99.294645
148                5.554497                     28.640114                        77.684748
149               23.342962                     20.855904                        56.570500
150                9.287005                     30.337463                        82.288718
151               12.338570                     38.858780                       105.402327
152               11.100585                     29.155809                        79.083544
