@    title "Electric Field"
@    xaxis  label "Time (ps)"
@    yaxis  label "MV/cm"
#time             Magnitude      Efield_X       Efield_Y       Efield_Z
@type xy
1                 33.822540     -30.586958       4.688414     -13.653609
2                 45.591114     -43.492607      13.354060      -2.934619
3                 30.824633     -27.156208     -10.291409     -10.333697
4                 41.580643     -31.205212      13.425809     -23.977743
5                 35.151329     -32.257317      12.243694      -6.721125
6                 31.420437     -27.758450       2.634153     -14.483562
7                 24.661333     -24.117313      -2.559119      -4.470739
8                 21.731522     -19.728630      -7.729524      -4.826449
9                 31.104675     -30.139076       2.883063      -7.129153
10                29.550184     -27.870470       8.086274      -5.573367
11                22.496231     -22.112398      -3.909926      -1.354528
12                22.749617     -16.189833     -13.913739      -7.863983
13                28.292982     -22.865383     -14.995592      -7.266312
14                27.966055     -25.646505      -0.752712     -11.126117
15                29.999342     -27.886690      -4.393478     -10.148420
16                23.174276     -19.954948     -10.942975      -4.370171
17                24.330692     -10.642607      -8.575355     -20.129103
18                23.879995     -23.798895      -0.165634      -1.959446
19                33.056026     -32.617580      -4.715689      -2.560587
20                25.433128     -25.154739      -2.476207      -2.819840
21                29.554161     -25.472044     -13.711738      -6.050756
22                33.409649     -33.223129      -3.502808      -0.398158
23                16.166660     -10.841066      -8.938212      -7.996285
24                23.802481     -18.972837     -14.075448      -2.910557
25                22.451725     -21.423407      -6.699377       0.485732
26                26.190901     -23.424318      -4.649643     -10.753857
27                39.074322     -37.063530     -12.356176       0.649909
28                28.753660     -22.813253      -3.153404     -17.215820
29                22.824398     -20.312414      -7.858856      -6.826226
30                28.914106     -25.475052      -9.003922     -10.294496
31                35.560387     -32.857399     -12.991078       4.020497
32                23.902302     -19.425352      -5.054807     -12.977854
33                26.355799     -25.930433      -4.627543      -0.909153
34                25.248606     -23.046249      -6.430519      -8.062933
35                35.771091     -29.740747     -19.659012      -2.929546
36                25.978754     -21.979763       5.716202     -12.613906
37                25.532888     -17.855806     -13.850953     -11.884848
38                25.050043     -21.720156      -7.537958      -9.945787
39                25.707308     -25.076338      -1.079424      -5.556786
40                29.130768     -17.794170     -21.592850      -8.106667
41                36.048851     -24.425507     -17.834103     -19.617830
42                41.581150     -35.989429     -17.140692     -11.830029
43                40.033348     -36.021149      -8.498806     -15.261583
44                33.196682     -28.426897      -9.647653     -14.172300
45                34.602924     -27.975864      -1.072011     -20.336279
46                38.398190     -34.050640     -10.755422     -14.117219
47                32.365162     -30.864902      -9.696593      -0.915130
48                38.621433     -35.674919      -8.166107     -12.338159
49                33.806351     -31.951635     -10.593205      -3.121891
50                33.284527     -25.624298      -1.465012     -21.192188
51                26.851694     -21.405027       0.587834     -16.201628
52                25.388939     -20.906902      -5.849885     -13.163530
53                29.768129     -22.064219     -13.281321     -14.930449
54                32.363396     -24.221136     -17.867027     -11.895176
55                32.327972     -27.179562      -5.839617     -16.500549
56                28.660967     -22.936531      -6.478882     -15.918251
57                26.990072     -24.458031     -10.799915      -3.691957
58                39.307320     -38.028961      -9.414388      -3.198870
59                24.118240     -16.819069     -13.575460     -10.701182
60                29.040781     -21.310905     -16.144299     -11.339040
61                27.689522     -26.746140      -7.066639      -1.190071
62                25.504284     -23.637768      -1.994692      -9.367263
63                34.852379     -32.536644     -10.139871       7.296445
64                24.280647     -23.574411      -4.934317      -3.073998
65                26.015083     -23.965223      -5.120056      -8.731420
66                25.225760     -20.737955     -14.079861       2.834386
67                27.577669     -25.011417     -10.698649      -4.527222
68                32.029327     -29.068928     -13.136034       2.884436
69                37.996490     -28.801521     -18.284964      16.729183
70                39.669502     -35.127548     -11.566610     -14.350544
71                32.435623     -27.603308      -4.963390     -16.293921
72                21.962193     -18.343018      -6.768250     -10.003120
73                24.971785     -24.411432      -2.615535       4.564095
74                33.671486     -25.822657     -18.328207     -11.447108
75                27.013359     -26.934401       1.797046      -1.015040
76                24.453619     -14.606075     -13.233296     -14.474872
77                31.541571     -27.703079      -8.931355     -12.150761
