@    title "Efield_Projection"
@    xaxis  label "Time (ps)"
@    yaxis  label "Alignment_percentage"
#time             Angle           Alignment%
@type xy
1                 30.913771      85.794134
2                 19.524242      94.250022
3                 48.213111      66.636186
4                 37.569919      79.260982
5                 14.180135      96.953035
6                 35.834144      81.071516
7                 44.294986      71.575390
8                 57.508898      53.716866
9                 34.094104      82.811804
10                20.086830      93.917332
11                53.080092      60.069809
12                69.251352      35.426902
13                68.618026      36.458389
14                38.982217      77.734125
15                39.851439      76.770852
16                57.095156      54.324537
17                70.308814      33.695048
18                36.000051      80.901646
19                50.279649      63.904114
20                39.460813      77.205945
21                64.795739      42.584660
22                37.755660      79.062909
23                72.502511      30.066402
24                61.502936      47.711380
25                47.011340      68.185346
26                50.759485      63.257704
27                60.767125      48.836041
28                49.422165      65.048050
29                56.718558      54.875207
30                52.469965      60.917723
31                59.983779      50.024523
32                51.072783      62.833273
33                43.773183      72.208403
34                52.722219      60.567990
35                70.406420      33.534599
36                23.111617      91.974192
37                68.592441      36.499968
38                52.840004      60.404283
39                41.918159      74.409975
40                82.413141      13.202899
41                67.265191      38.646647
42                57.676752      53.469526
43                53.036658      60.130395
44                53.950385      58.848563
45                42.132942      74.159027
46                49.830518      64.505072
47                53.645271      59.278278
48                49.593666      64.820413
49                60.334156      49.494078
50                48.335472      66.476810
51                44.965178      70.753645
52                53.016242      60.158851
53                66.211300      40.336478
54                67.940100      37.557568
55                48.956862      65.662716
56                53.297530      59.765964
57                51.652707      62.042662
58                46.025861      69.433360
59                70.942824      32.651151
60                73.842364      27.828105
61                48.130303      66.743883
62                42.423028      73.818424
63                50.977115      62.963087
64                42.860741      73.300918
65                50.771923      63.240894
66                67.179079      38.785218
67                51.243730      62.600877
68                46.820440      68.428698
69                64.916982      42.393097
70                45.820316      69.691085
71                47.015393      68.180191
72                56.671575      54.943739
73                49.828690      64.507520
74                70.964162      32.615947
75                25.274818      90.427028
76                81.271074      15.175986
77                47.709037      67.289578
78                71.436385      31.835737
79                54.732662      57.739235
80                60.951345      48.555224
81                35.205074      81.709377
82                46.860262      68.378000
83                59.055356      51.420963
84                29.114542      87.364873
85                42.928044      73.220960
86                25.531548      90.234805
87                24.476806      91.012917
88                67.910489      37.605466
89                52.598472      60.739709
90                47.828329      67.135422
91                47.746531      67.241158
92                57.155052      54.236737
93                60.132525      49.799566
94                53.524778      59.447513
95                46.520248      68.809818
96                48.582724      66.153806
97                46.646978      68.649156
98                56.216132      55.606159
99                42.647999      73.552977
100               24.459318      91.025551
101               37.737959      79.081814
102               49.632736      64.768468
103               33.202449      83.674080
104               53.125891      60.005876
105               56.205341      55.621825
106               60.055336      49.916336
107               50.758863      63.258555
108               36.449504      80.438077
109               66.593919      39.724536
110               34.308893      82.601066
111               33.083042      83.788033
112               49.834746      64.499423
113               41.085851      75.372564
114               63.485432      44.642530
115               49.005412      65.598775
116               42.522667      73.701002
117               70.980521      32.588957
118               38.843632      77.886061
119               45.020832      70.684963
120               33.529840      83.359819
