@    title "Efield_Projection"
@    xaxis  label "Time (ps)"
@    yaxis  label "MV/cm"
#time             Magnitude       Efield_X       Efield_Y      Efield_Z        Direction
@type xy
1                 29.017756     -23.844387      16.323507      -2.649227       1.000000
2                 42.969635     -34.432903      25.593143      -2.399091       1.000000
3                 20.540359     -18.514158       8.841522      -0.979679       1.000000
4                 32.957226     -29.478838      14.680777       1.285186       1.000000
5                 34.080280     -27.049337      18.793909      -8.751444       1.000000
6                 25.473024     -21.881672      13.031651      -0.493405       1.000000
7                 17.651445     -13.362761      10.877424      -3.832989       1.000000
8                 11.673492      -9.072344       6.971653      -2.314966       1.000000
9                 25.758343     -19.654644      16.301517      -3.383445       1.000000
10                27.752745     -22.224012      16.254705      -3.477451       1.000000
11                13.513443      -9.611393       8.848635      -3.454838       1.000000
12                 8.059484      -6.623336       4.149741      -1.966304       1.000000
13                10.315166      -7.764906       6.144714      -2.889871       1.000000
14                21.739168     -19.038553      10.470601       0.701015       1.000000
15                23.030750     -20.323381      10.779419      -1.086153       1.000000
16                12.589318     -11.226978       5.620829       0.923132       1.000000
17                 8.198238      -6.368605       4.759623      -1.999493       1.000000
18                19.319309     -15.740692      11.198502      -0.244714       1.000000
19                21.124161     -15.583359      14.145613      -1.814030       1.000000
20                19.635887     -15.844707      10.602923      -4.700146       1.000000
21                12.585539      -9.707195       7.599115      -2.533695       1.000000
22                26.414640     -22.432186      13.800111      -2.021693       1.000000
23                 4.860733      -3.819825       2.848520      -0.959998       1.000000
24                11.356492     -10.321566       4.736099       0.067601       1.000000
25                15.308786     -13.143331       6.758373      -3.992018       1.000000
26                16.567762     -13.042122      10.108568      -1.486835       1.000000
27                19.082352     -14.011802      12.354963      -3.893645       1.000000
28                18.703695     -15.932800       9.746252      -0.992288       1.000000
29                12.524936      -9.629305       7.459754      -2.915919       1.000000
30                17.613815     -14.725777       9.461081      -1.971288       1.000000
31                17.788914     -14.110053      10.197892      -3.654426       1.000000
32                15.018599     -13.439436       6.702547       0.125400       1.000000
33                19.031101     -15.672446      10.231030      -3.447209       1.000000
34                15.292573     -12.345400       8.982038      -0.881414       1.000000
35                11.995692      -9.117477       6.988312      -3.454232       1.000000
36                23.893749     -20.292227      11.756713      -4.573454       1.000000
37                 9.319496      -7.389163       5.204822      -2.272244       1.000000
38                15.131299     -13.500373       6.690200       1.391898       1.000000
39                19.128801     -14.447390      12.169138      -3.015967       1.000000
40                 3.846106      -3.077303       2.157600      -0.817008       1.000000
41                13.931672     -11.034316       7.844437      -3.286358       1.000000
42                22.233244     -18.734119      11.818591      -1.915950       1.000000
43                24.072210     -18.639847      15.049274      -2.355160       1.000000
44                19.535770     -14.505109      11.723202      -5.815039       1.000000
45                25.661192     -21.847631      13.117776      -3.016914       1.000000
46                24.768780     -21.980364      11.382832       0.887272       1.000000
47                19.185511     -15.202789      10.846195      -4.395341       1.000000
48                25.034573     -19.098707      15.178596      -5.619555       1.000000
49                16.732141     -11.979032      10.923325      -4.141057       1.000000
50                22.126492     -15.756980      14.684934      -5.064774       1.000000
51                18.998552     -16.683233       9.088793       0.092753       1.000000
52                15.273694     -11.543847       9.352345      -3.543868       1.000000
53                12.007415      -9.456388       7.119880      -2.015453       1.000000
54                12.154904     -10.304593       6.367986      -1.002905       1.000000
55                21.227425     -16.660110      12.442505      -4.269459       1.000000
56                17.129503     -14.622574       8.868685      -0.972969       1.000000
57                16.745359     -14.567016       7.875541      -2.486953       1.000000
58                27.292393     -22.549730      14.072122      -6.193523       1.000000
59                 7.874883      -6.455255       4.354922      -1.173934       1.000000
60                 8.081499      -5.834204       5.163706      -2.146818       1.000000
61                18.481062     -15.345321      10.092566      -2.052048       1.000000
62                18.826860     -16.300970       9.328228       1.308906       1.000000
