#time   Angle(Efield(t), avg_field)   Projection(Efield(t), avg_field)   Alignment(Efield(t), avg_field)
1                 16.302539                     31.052340                        95.328891
2                 21.188918                     39.290340                       120.619082
3                  7.747219                     30.268410                        92.922270
4                 27.521946                     31.941666                        98.059070
5                 22.677191                     29.592609                        90.847605
6                 15.933432                     28.962425                        88.912976
7                  4.825763                     24.499214                        75.211173
8                  6.228315                     21.483391                        65.952772
9                 12.358658                     29.645733                        91.010690
10                19.610975                     26.049150                        79.969388
11                 6.427760                     22.221634                        68.219131
12                19.610111                     20.054535                        61.566263
13                14.219867                     26.531855                        81.451261
14                10.815851                     26.965117                        82.781351
15                 6.086051                     29.673220                        91.095072
16                11.179261                     22.287226                        68.420500
17                33.201719                     16.186562                        49.691811
18                 9.930027                     23.161890                        71.105665
19                 6.274449                     32.672634                       100.303102
20                 6.385094                     25.127022                        77.138507
21                10.831655                     28.493231                        87.472576
22                 9.247753                     32.541134                        99.899405
23                21.253810                     13.918781                        42.729855
24                16.885875                     21.710751                        66.650754
25                 9.959077                     21.772528                        66.840404
26                 8.669953                     25.594557                        78.573811
27                10.049995                     37.870125                       116.259098
28                17.489177                     26.042997                        79.950500
29                 7.051657                     22.485859                        69.030291
30                 7.822628                     28.381773                        87.130404
31                14.412860                     33.286041                       102.186227
32                14.624891                     22.328009                        68.545699
33                 7.381822                     25.925680                        79.590344
34                 5.234801                     25.050154                        76.902527
35                15.333164                     33.180237                       101.861417
36                21.152720                     22.400627                        68.768632
37                19.729275                     22.471352                        68.985754
38                 9.148880                     24.413042                        74.946630
39                 7.043223                     25.326965                        77.752322
40                25.614445                     23.269073                        71.434712
41                20.892266                     31.204533                        95.796114
42                 9.377962                     40.468788                       124.236846
43                 7.388518                     39.378784                       120.890594
44                10.180587                     32.146332                        98.687387
45                17.914515                     31.180359                        95.721900
46                 7.566415                     37.738495                       115.855002
47                 8.160725                     31.714729                        97.362387
48                 4.831240                     38.366905                       117.784190
49                 6.354096                     33.403637                       102.547240
50                19.965044                     29.197987                        89.636135
51                19.545158                     23.691608                        72.731870
52                13.572998                     23.950033                        73.525220
53                17.358498                     27.003603                        82.899505
54                17.226743                     29.403303                        90.266442
55                13.061041                     30.632507                        94.040030
56                15.290927                     26.596558                        81.649899
57                 8.405062                     26.413589                        81.088197
58                 5.448883                     38.970276                       119.636500
59                19.901224                     21.175913                        65.008831
60                17.993695                     26.142944                        80.257332
61                 7.029702                     27.281498                        83.752626
62                 8.518435                     24.944281                        76.577502
63                17.159549                     31.689463                        97.284824
64                 3.695598                     24.194141                        74.274617
65                 5.489123                     25.788425                        79.168975
66                19.743979                     22.196564                        68.142170
67                 7.635891                     27.094778                        83.179402
68                14.562367                     29.937851                        91.907477
69                29.524850                     27.885197                        85.605943
70                 7.568049                     38.987640                       119.689810
71                12.780152                     30.807568                        94.577456
72                11.715426                     21.037727                        64.584607
73                16.388902                     22.904718                        70.316166
74                16.235028                     30.936489                        94.973236
75                13.315373                     25.540413                        78.407592
76                24.957829                     19.779015                        60.720432
77                 8.326122                     30.880869                        94.802487
78                13.090567                     37.886944                       116.310728
79                 8.876772                     16.045296                        49.258131
80                16.095497                     23.272137                        71.444118
81                 8.741522                     33.374973                       102.459240
82                 3.229436                     26.704149                        81.980199
83                13.196867                     18.265265                        56.073308
84                16.000088                     20.234793                        62.119645
85                 7.744507                     26.581303                        81.603068
86                12.957774                     25.166706                        77.260333
87                14.990262                     28.470327                        87.402260
88                15.134373                     28.380840                        87.127542
89                13.951144                     27.096457                        83.184558
90                13.840996                     24.840057                        76.257545
91                10.590373                     26.091047                        80.098009
92                13.389902                     24.561991                        75.403893
93                12.458609                     27.960321                        85.836571
94                 6.229290                     32.837490                       100.809205
95                 6.841575                     25.002085                        76.754957
96                24.084859                     26.568935                        81.565100
97                 4.837724                     25.592024                        78.566039
98                11.941030                     17.942814                        55.083406
99                 8.896756                     28.364891                        87.078577
100               18.310627                     24.684488                        75.779957
101               12.328065                     27.867521                        85.551685
102               10.709379                     31.466623                        96.600717
103               23.451777                     17.849579                        54.797179
104               10.800444                     14.019788                        43.039939
105               13.940105                     31.671587                        97.229946
106               17.278709                     20.530142                        63.026351
107               13.563464                     22.930325                        70.394772
108               11.905971                     26.593719                        81.641185
109               22.667614                     21.696709                        66.607642
110               14.037796                     27.486986                        84.383464
111               11.769075                     21.623251                        66.382134
112                3.017853                     18.809145                        57.742989
113                4.266225                     25.484524                        78.236020
114               14.842052                     23.542528                        72.274202
115                7.093318                     22.584623                        69.333488
116                2.133316                     25.590948                        78.562737
