PC,Variance,Cumulative
1,0.2138279673721674,0.2138279673721674
2,0.12573604502817656,0.33956401240034395
3,0.0637106838548152,0.40327469625515916
4,0.04170333044055441,0.44497802669571357
5,0.03442927367482602,0.4794073003705396
6,0.02635192002401756,0.5057592203945571
7,0.025195716830231096,0.5309549372247883
8,0.01971788792368675,0.550672825148475
9,0.019286026617470635,0.5699588517659456
10,0.01827154452376641,0.5882303962897121
11,0.01471924511135723,0.6029496414010693
12,0.013617964501803336,0.6165676059028726
13,0.012337748324483934,0.6289053542273566
14,0.01099681242607773,0.6399021666534344
15,0.010226381374618659,0.650128548028053
16,0.009339925521744397,0.6594684735497973
17,0.008912959892981116,0.6683814334427784
18,0.00816125750159575,0.6765426909443742
19,0.0076700747325475745,0.6842127656769218
20,0.006787578782055963,0.6910003444589777
21,0.006529439295755603,0.6975297837547333
22,0.005860375230755492,0.7033901589854887
23,0.005490252770526905,0.7088804117560157
24,0.005308660649432254,0.7141890724054479
25,0.004933956751065806,0.7191230291565137
26,0.0044276351510263105,0.72355066430754
27,0.004167525167547722,0.7277181894750877
28,0.0038463690058404294,0.7315645584809282
29,0.003634004842973233,0.7351985633239014
30,0.0033824695573736077,0.7385810328812751
