PC,Variance,Cumulative
1,0.039253283,0.039253283
2,0.17929737,0.21855065
3,0.036219183,0.25476983
4,0.11115397,0.3659238
5,0.08292862,0.44885242
6,0.0729462,0.5217986
7,0.014160862,0.5359595
8,0.036516942,0.57247645
9,0.042916864,0.6153933
10,0.03645903,0.6518523
11,0.032667898,0.6845202
12,0.027338864,0.71185905
13,0.032644015,0.7445031
14,0.025343824,0.7698469
15,0.022974942,0.7928219
16,0.01943454,0.8122564
17,0.021031938,0.8332883
18,0.018628156,0.8519165
19,0.01894444,0.87086093
20,0.017701784,0.88856274
21,0.013275342,0.90183806
22,0.012651072,0.91448915
23,0.013005527,0.9274947
24,0.012345902,0.9398406
25,0.0114282025,0.9512688
26,0.011698954,0.96296775
27,0.009787245,0.972755
28,0.010437196,0.9831922
29,0.007865552,0.99105775
30,0.008942181,0.99999994
