Frame,PC1,PC2
0,2.9831648,-10.351168
1,4.223316,-5.225545
2,4.214923,-7.6254535
3,4.854383,-9.826651
4,5.509248,-7.8012853
5,6.2388616,-8.427864
6,4.2297263,-9.131009
7,4.411288,-6.847175
8,3.112092,-6.1102896
9,4.687485,-2.6555188
10,4.903545,-2.0058806
11,5.2770905,-3.9269297
12,5.5767827,-3.3894448
13,4.794508,-5.894297
14,4.5591984,-4.6414175
15,5.474391,-4.4991326
16,4.9576473,-6.044315
17,6.273069,-7.887999
18,5.3753595,-6.247413
19,5.288085,-6.990522
20,5.2036133,-5.501326
21,5.089929,-6.167583
22,4.6932716,-3.103436
23,3.791967,-3.9626248
24,6.8407564,-4.323146
25,5.21978,-2.011665
26,5.217188,-3.6410499
27,3.3664122,-5.036227
28,4.1492505,-6.4898543
29,4.5187387,-4.4347396
30,3.5419145,-4.459433
31,3.429979,-5.3083043
32,3.2145329,-5.85677
33,4.051305,-4.268955
34,5.295339,-5.0791945
35,3.8729718,-3.474714
36,3.523316,-4.31914
37,3.786429,-3.5244021
38,3.741687,-5.041496
39,4.887375,-6.46414
40,3.4558606,-5.04401
41,3.179231,-5.768716
42,4.978883,-6.920237
43,3.8301148,-6.7126713
44,3.7284253,-8.450711
45,4.7104487,-7.839854
46,4.257697,-7.1302485
47,3.5532422,-4.4873214
48,5.849867,-6.2228246
49,4.02288,-7.238053
50,2.9061353,-5.103943
51,4.23692,-7.225478
52,4.0032077,-5.837805
53,4.948593,-6.841872
54,4.7273374,-5.6395473
55,4.745103,-6.3069987
56,4.5125365,-4.9640293
57,5.7177143,-6.6618686
58,4.256907,-4.601243
59,4.306582,-4.970259
60,3.5766246,-4.600991
61,5.622053,-6.3533354
62,4.685463,-4.755093
63,3.7808607,-5.5118446
64,3.9319558,-7.956672
65,3.9499924,-3.351742
66,4.878356,-7.663397
67,3.5404146,-3.9510684
68,4.5957274,-6.245335
69,4.086913,-7.2222643
70,4.0237093,-5.281757
71,4.5836577,-5.457823
72,4.6006417,-6.727437
73,2.6520536,-6.01105
74,3.342042,-5.1472826
75,4.3207836,-9.474024
76,1.7831079,-8.423527
77,3.5695877,-5.774378
78,2.5606549,-7.6059294
79,1.0514514,-5.7310586
80,2.39461,-7.9030685
81,1.4567773,-8.0558605
82,3.7724133,-7.5302315
83,3.5314174,-7.529552
84,4.007577,-9.9743395
85,3.2476761,-7.898223
86,5.390905,-6.3750906
87,5.4960284,-8.971317
88,5.2850027,-7.370549
89,4.3795223,-9.523221
90,6.523075,-5.9100924
91,5.8717756,-7.855684
92,5.6181016,-8.28943
93,3.7644145,-6.2359524
94,4.5742993,-4.460076
95,4.959002,-6.0151896
96,3.719349,-4.7535934
97,4.823085,-4.034807
98,3.9038587,-3.909881
99,3.0930939,-5.750771
100,4.679573,-7.273089
101,4.5511556,-3.6706738
102,4.0559072,-4.1248126
103,5.7325397,-4.4270506
104,5.2741027,-9.561301
105,4.198478,-9.187034
106,4.8385787,-7.4784536
107,4.9825616,-10.585801
108,4.593829,-6.6535954
109,4.3445406,-5.442892
110,4.538698,-4.2922134
111,4.2535124,-7.0125494
112,7.826965,-6.196317
113,4.6654553,-5.082104
114,4.088837,-5.50373
115,4.008831,-7.7632346
116,4.3532434,-8.434647
117,6.1640067,-6.020154
118,3.6764514,-5.634134
119,5.5759964,-5.9713387
120,5.5583057,-9.364796
121,3.8726294,-6.769858
122,3.854919,-8.370711
123,6.113395,-6.505274
124,5.0173073,-8.117187
125,5.7308397,-6.105715
126,5.541811,-6.3413553
127,5.2200694,-7.7289705
128,4.42097,-5.76297
129,4.944796,-11.945245
130,5.902839,-9.413427
131,5.7250543,-7.352939
132,5.298407,-5.929592
133,5.089839,-7.2668004
134,3.9646544,-8.292196
135,5.3933225,-10.581492
136,4.710493,-8.415463
137,5.3797874,-9.7256
138,5.008834,-8.929246
139,3.5098903,-7.596407
140,4.424292,-7.7166095
141,5.1323133,-7.3540964
142,4.369588,-8.507133
143,3.2052891,-7.459504
144,2.5855567,-9.366645
145,4.868598,-8.269641
146,5.086973,-10.121781
147,4.262228,-9.006455
148,2.8785927,-8.098616
149,5.126731,-7.9509873
150,4.0439143,-5.3635817
151,3.4045165,-5.0037994
152,4.0729294,-5.4019046
153,4.567941,-5.2492456
154,4.524805,-9.62402
155,4.228335,-6.2961254
156,5.96491,-8.097336
157,5.3315897,-9.41444
158,5.9496207,-11.240159
159,5.3060365,-9.275165
160,4.9153824,-7.964251
161,5.22377,-8.054347
162,5.1345797,-9.104423
163,4.880419,-10.88972
164,4.079163,-7.0138607
165,3.3811636,-8.129549
166,3.9247203,-7.694841
167,5.376359,-8.947507
168,3.7559261,-8.285643
169,3.5997894,-10.287478
170,4.7070055,-12.011186
171,2.8962395,-7.6458483
172,3.5549057,-8.6588
173,3.893713,-6.8443723
174,4.958415,-9.5965605
