Frame,PC1,PC2
0,5.195702,5.2354827
1,7.245329,5.7738247
2,6.0647764,8.062605
3,6.7015343,9.103413
4,5.217478,9.123911
5,6.0432997,6.8363075
6,6.2570314,6.5938787
7,4.0829697,2.6039672
8,4.8260503,3.9125662
9,4.99788,2.5667343
10,4.670278,8.9665165
11,6.3293667,7.168707
12,5.099378,6.3809357
13,5.9514847,3.854785
14,5.6604867,4.7553535
15,6.1016846,4.233119
16,6.161023,5.575056
17,6.0615478,4.816715
18,5.1126256,3.144296
19,4.5769176,4.6391344
20,6.0698624,4.3459573
21,6.4382267,4.939932
22,4.6621394,4.8073907
23,4.900814,5.7042823
24,5.0885463,5.552159
25,7.2521777,6.535342
26,6.6188116,6.053423
27,6.915554,6.71377
28,6.2793565,3.0056162
29,5.0975184,4.977687
30,7.0585465,5.448154
31,6.4336085,5.002887
32,4.8943167,8.001439
33,5.7190275,6.4661145
34,6.6010447,6.461787
35,4.7184653,6.9572845
36,5.221912,5.179497
37,5.320423,5.9515204
38,4.8235207,4.1856737
39,5.686265,7.6857305
40,6.123088,8.224659
41,5.8589454,8.107858
42,6.2731185,6.0836883
43,5.9948053,5.5731754
44,6.463735,4.54339
45,5.0777645,7.6295714
46,5.2049108,7.19417
47,6.4989147,5.7253385
48,6.3477383,7.7502317
49,5.1794744,5.3085036
50,6.388867,6.100381
51,5.935777,4.7421455
52,5.6082687,5.431996
53,6.686037,6.477002
54,5.6927814,2.6613576
55,6.7460017,4.9727783
56,5.2436633,4.5382366
57,5.4398704,5.384192
58,5.951489,6.938831
59,4.523023,6.824969
60,6.643825,5.4721622
61,5.315869,6.6467156
62,4.0150905,7.7983
63,5.7947917,4.258959
64,6.7242184,5.1312695
65,5.111189,5.9731026
66,5.9243627,6.65311
67,6.143289,6.3469343
68,5.7141824,7.518206
69,5.4490952,4.4544353
70,6.755378,5.2592607
71,5.997789,6.99132
72,5.5408278,6.922979
73,5.5932727,5.2458453
74,6.156076,7.74983
75,5.7921576,7.5911217
76,4.102798,3.8053007
77,5.3489957,6.8713336
78,5.864656,3.4965878
79,7.5971293,6.8248568
80,6.1677628,6.1245427
81,7.851924,4.95737
82,6.9176702,6.1713376
83,6.520041,6.80197
84,5.0164094,10.371691
85,5.4112153,2.596447
86,5.6425548,4.842972
87,5.412908,5.339684
88,6.4551206,4.626855
89,5.4608545,3.1443799
90,7.0672846,8.6370535
91,6.891981,5.796284
92,3.1899815,6.9847207
93,5.8059,6.634167
94,3.6347485,7.112706
95,5.75973,6.6190825
96,5.4247475,9.023233
97,3.668392,4.766779
98,4.7647314,6.690162
99,5.341383,7.3163056
100,6.111344,4.4501195
101,4.306336,6.8993745
102,6.2263837,4.751738
103,6.727894,7.5631304
104,4.9236617,7.1362133
105,5.9071417,6.095346
106,6.452465,5.799995
107,4.340135,7.285085
108,6.7199664,6.935081
109,5.2787795,7.0492725
110,6.242619,6.1070237
111,6.9776726,4.23894
112,6.824369,6.1968145
113,6.2362294,2.9312127
114,6.8197885,4.167872
115,4.801667,5.4947014
116,5.3073697,7.343883
117,5.541521,3.4446
118,7.0524073,4.1926694
119,5.388142,4.788504
