PC,Variance,Cumulative
1,0.38111895,0.38111895
2,0.09425416,0.47537312
3,0.12311589,0.598489
4,0.029815385,0.62830436
5,0.023094261,0.6513986
6,0.019588886,0.6709875
7,0.05185232,0.72283983
8,0.03174436,0.7545842
9,0.020962186,0.7755464
10,0.022717929,0.7982643
11,0.021474821,0.81973916
12,0.016955407,0.8366946
13,0.011996047,0.8486906
14,0.015756896,0.86444753
15,0.01395757,0.8784051
16,0.013239927,0.891645
17,0.010913295,0.9025583
18,0.01034856,0.9129069
19,0.009146907,0.9220538
20,0.008836434,0.93089026
21,0.0100110425,0.9409013
22,0.008517536,0.94941884
23,0.007820236,0.9572391
24,0.006860163,0.9640992
25,0.006561914,0.97066116
26,0.005575318,0.97623646
27,0.0062688324,0.9825053
28,0.005648125,0.98815346
29,0.0063978373,0.9945513
30,0.005448773,1.0000001
